iSE_pos0_x,iSE_pos0_y,iSE_pos1_x,iSE_pos1_y,iSE_pos2_x,iSE_pos2_y,iSE_pos3_x,iSE_pos3_y,iSE_pos4_x,iSE_pos4_y,Goal_pos0_x,Goal_pos0_y,Goal_pos1_x,Goal_pos1_y,Goal_pos2_x,Goal_pos2_y,Goal_pos3_x,Goal_pos3_y,Goal_pos4_x,Goal_pos4_y,Goal_goal_x,Goal_goal_y
0.497501,-0.167779,0.414265,-0.139708,0.306229,-0.103274,0.191260,-0.064501,0.046604,-0.015717,-1.802126,-2.005183,-1.110957,-1.236136,-0.667354,-0.742549,-0.296196,-0.329570,-0.132513,-0.147445,3.374329,2.627771
0.231125,-0.069646,0.263885,-0.082725,0.249310,-0.079652,0.189844,-0.060901,0.030425,-0.009827,-3.185743,-2.522181,-1.977335,-1.889351,-1.059959,-1.269851,-0.551894,-0.818881,-0.132046,-0.147754,3.397694,2.612324
0.302496,-0.225133,0.301426,-0.185357,0.306420,-0.152735,0.276839,-0.124963,0.032685,-0.013546,-2.784061,-2.912017,-2.311367,-2.375094,-1.839163,-1.866108,-1.311368,-1.312144,-0.138567,-0.148850,3.071650,2.557477
0.386328,0.032464,0.352192,-0.033782,0.328725,-0.080246,0.321166,-0.095958,0.033275,-0.011274,-2.500844,-2.169118,-2.477398,-2.351946,-2.235409,-2.236368,-1.891838,-1.962310,-0.139745,-0.151001,3.012769,2.449941
0.405435,0.308798,0.386491,0.188995,0.352279,0.049665,0.328766,-0.039880,0.033275,-0.010775,-2.393468,-1.683037,-2.552616,-2.183584,-2.487571,-2.354789,-2.221681,-2.232533,-0.139811,-0.151020,3.009463,2.449017
0.226106,0.291400,0.284929,0.259760,0.322548,0.162975,0.322183,0.037418,0.033204,-0.010804,-2.487729,-1.578717,-2.611416,-2.008050,-2.550746,-2.180796,-2.352127,-2.152808,-0.141966,-0.154234,2.901687,2.288296
0.299504,0.685152,0.300722,0.553865,0.324524,0.399037,0.341182,0.228522,0.033314,-0.010418,-2.214118,-0.898284,-2.510448,-1.594749,-2.603041,-2.002141,-2.523445,-2.161532,-0.142484,-0.154599,2.875798,2.270028
0.470818,0.820850,0.408628,0.723264,0.358628,0.574090,0.351825,0.408572,0.033720,-0.010276,-1.827231,-0.470055,-2.257245,-1.073185,-2.479236,-1.468169,-2.524277,-1.682710,-0.144061,-0.160994,2.796954,1.950276
0.324191,0.804298,0.351839,0.779693,0.345536,0.701440,0.328865,0.563794,0.033045,-0.010509,-1.718701,-0.221776,-1.986451,-0.637856,-2.126574,-0.935472,-2.155867,-1.127373,-0.150905,-0.168208,2.454736,1.589614
0.154215,0.532912,0.230639,0.616818,0.302263,0.680344,0.322153,0.654581,0.032418,-0.011767,-1.697643,-0.301419,-1.840622,-0.417249,-1.909050,-0.513760,-1.911579,-0.590775,-0.155793,-0.176044,2.210363,1.197816
0.210352,0.134293,0.217188,0.292611,0.264002,0.489508,0.318000,0.620294,0.032862,-0.013460,-1.555022,-0.634086,-1.727570,-0.468906,-1.829896,-0.357222,-1.869278,-0.291176,-0.156790,-0.181625,2.160495,0.918729
0.377564,0.563785,0.316557,0.468821,0.273458,0.469853,0.290555,0.573148,0.033610,-0.011104,-1.335204,-0.345381,-1.567418,-0.422690,-1.726188,-0.492473,-1.818370,-0.553783,-0.157121,-0.175982,2.143947,1.200923
0.545115,0.622974,0.470672,0.557051,0.365901,0.465252,0.296762,0.468168,0.034247,-0.011150,-1.100502,-0.325197,-1.371096,-0.374775,-1.570323,-0.425069,-1.704176,-0.474446,-0.157886,-0.176608,2.105715,1.169613
1.095452,0.618727,0.897174,0.617817,0.657318,0.554317,0.454145,0.463959,0.036537,-0.011184,-0.508543,-0.323537,-0.976409,-0.348372,-1.342963,-0.380029,-1.616274,-0.416488,-0.155764,-0.177004,2.211807,1.149800
0.986040,0.719033,0.955624,0.698419,0.823011,0.660085,0.622211,0.574326,0.035688,-0.010700,-0.466695,-0.229877,-0.803337,-0.280771,-1.076047,-0.333917,-1.289092,-0.387845,-0.159835,-0.176413,2.008262,1.179329
